"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4448","test_balance_button","tests","2026-03-07","passed","2026-03-07","TestChainsCheckBotSync","test_bot_AML","",""
"","4170","test_get_score","tests","2026-03-07","passed","2026-03-07","TestChainsCheckBotSync","test_bot_AML","",""
